#scalar perturbations for mode k = 9.845588963938e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:delta_scf             22:theta_scf          
       7.118920379540e-01       1.537915965180e-06      -1.635848673137e-03      -9.400742893521e-07       4.264110491990e-09       1.066027622997e-08       1.215938881598e-15       2.132055245995e-09      -1.226886504853e-03      -9.400742893521e-07       6.012033533562e-01       6.992805052514e-01      -1.635848673092e-03      -1.393721047641e-06       1.968170865852e-04      -1.226886504923e-03      -7.609252408273e-53      -1.637535834359e-03      -1.395158501524e-06       1.970200752109e-04      -8.191725481906e-32                     -inf 
       7.118921126057e-01       1.537916126660e-06      -1.635849015792e-03      -9.400745849257e-07       4.264111834668e-09       1.066027958667e-08       1.215939519815e-15       2.132055917334e-09      -1.226886761844e-03      -9.400745849257e-07       6.012033533095e-01       6.992805051416e-01      -1.635849015702e-03      -1.393721486008e-06       1.968171277889e-04      -1.226886761984e-03      -3.281289764925e-52      -1.637536177322e-03      -1.395158940343e-06       1.970201164571e-04      -1.638345016131e-31                     -inf 
       7.118921872575e-01       1.537916288139e-06      -1.635849358447e-03      -9.400748804995e-07       4.264113177346e-09       1.066028294336e-08       1.215940158032e-15       2.132056588673e-09      -1.226887018835e-03      -9.400748804994e-07       6.012033532628e-01       6.992805050318e-01      -1.635849358311e-03      -1.393721924375e-06       1.968171689927e-04      -1.226887019045e-03      -8.615245845308e-52      -1.637536520284e-03      -1.395159379163e-06       1.970201577033e-04      -2.457517398512e-31                     -inf 
       7.118929337750e-01       1.537917902929e-06      -1.635852784995e-03      -9.400778362419e-07       4.264126604131e-09       1.066031651033e-08       1.215946540219e-15       2.132063302066e-09      -1.226889588746e-03      -9.400778362418e-07       6.012033527963e-01       6.992805039342e-01      -1.635852784408e-03      -1.393726308054e-06       1.968175810305e-04      -1.226889589659e-03      -1.095189356512e-49      -1.637539949914e-03      -1.395163767362e-06       1.970205701660e-04      -1.064922847288e-30                     -inf 
       7.118936802925e-01       1.537919517720e-06      -1.635856211547e-03      -9.400807919905e-07       4.264140030946e-09       1.066035007737e-08       1.215952922433e-15       2.132070015473e-09      -1.226892158660e-03      -9.400807919902e-07       6.012033523297e-01       6.992805028366e-01      -1.635856210508e-03      -1.393730691742e-06       1.968179930687e-04      -1.226892160274e-03      -4.253826906082e-49      -1.637543379547e-03      -1.395168155570e-06       1.970209826290e-04      -1.884093145964e-30                     -inf 
       7.118944268100e-01       1.537921132510e-06      -1.635859638102e-03      -9.400837477452e-07       4.264153457789e-09       1.066038364447e-08       1.215959304673e-15       2.132076728894e-09      -1.226894728577e-03      -9.400837477449e-07       6.012033518632e-01       6.992805017390e-01      -1.635859636612e-03      -1.393735075439e-06       1.968184051074e-04      -1.226894730893e-03      -1.054532485596e-48      -1.637546809183e-03      -1.395172543787e-06       1.970213950925e-04      -2.703262588069e-30                     -inf 
       7.118985913960e-01       1.537930140919e-06      -1.635878753839e-03      -9.401002370767e-07       4.264228362470e-09       1.066057090618e-08       1.215994909686e-15       2.132114181235e-09      -1.226909065379e-03      -9.401002370759e-07       6.012033492581e-01       6.992804956132e-01      -1.635878749830e-03      -1.393759530863e-06       1.968207037488e-04      -1.226909071610e-03      -1.653709267856e-47      -1.637565942107e-03      -1.395197024428e-06       1.970236961039e-04      -7.273137722933e-30                     -inf 
       7.119027559820e-01       1.537939149327e-06      -1.635897869685e-03      -9.401167265974e-07       4.264303268047e-09       1.066075817012e-08       1.216030515537e-15       2.132151634024e-09      -1.226923402264e-03      -9.401167265961e-07       6.012033466518e-01       6.992804894861e-01      -1.635897863156e-03      -1.393783986568e-06       1.968230024033e-04      -1.226923412410e-03      -6.237525294313e-47      -1.637585075142e-03      -1.395221505351e-06       1.970259971285e-04      -1.184298731015e-29                     -inf 
       7.119069205680e-01       1.537948157736e-06      -1.635916985642e-03      -9.401332163098e-07       4.264378174508e-09       1.066094543627e-08       1.216066122225e-15       2.132189087254e-09      -1.226937739231e-03      -9.401332163079e-07       6.012033440451e-01       6.992804833587e-01      -1.635916976594e-03      -1.393808442557e-06       1.968253010713e-04      -1.226937753293e-03      -1.562121876326e-46      -1.637604208287e-03      -1.395245986558e-06       1.970282981665e-04      -1.641281037665e-29                     -inf 
       7.119110851540e-01       1.537957166144e-06      -1.635936101710e-03      -9.401497062145e-07       4.264453081848e-09       1.066113270462e-08       1.216101729748e-15       2.132226540924e-09      -1.226952076283e-03      -9.401497062122e-07       6.012033414383e-01       6.992804772311e-01      -1.635936090144e-03      -1.393832898831e-06       1.968275997527e-04      -1.226952094260e-03      -3.165538161287e-46      -1.637623341544e-03      -1.395270468051e-06       1.970305992180e-04      -2.098260658041e-29                     -inf 
       7.119250992858e-01       1.537987480089e-06      -1.636000429479e-03      -9.402051973461e-07       4.264705156887e-09       1.066176289222e-08       1.216221557755e-15       2.132352578444e-09      -1.227000322109e-03      -9.402051973421e-07       6.012033326661e-01       6.992804566115e-01      -1.636000409435e-03      -1.393915198054e-06       1.968353350798e-04      -1.227000353262e-03      -1.689785522938e-45      -1.637687727156e-03      -1.395352852140e-06       1.970383425209e-04      -3.636010210242e-29                     -inf 
       7.119391134176e-01       1.538017794036e-06      -1.636064758512e-03      -9.402606906584e-07       4.264957241869e-09       1.066239310467e-08       1.216341395213e-15       2.132478620934e-09      -1.227048568884e-03      -9.402606906526e-07       6.012033238935e-01       6.992804359916e-01      -1.636064729990e-03      -1.393997500513e-06       1.968430705590e-04      -1.227048613213e-03      -4.751931183409e-45      -1.637752114034e-03      -1.395435239469e-06       1.970460859764e-04      -5.173729276582e-29                     -inf 
       7.119531275494e-01       1.538048107984e-06      -1.636129088810e-03      -9.403161861513e-07       4.265209336793e-09       1.066302334198e-08       1.216461242122e-15       2.132604668396e-09      -1.227096816608e-03      -9.403161861438e-07       6.012033151204e-01       6.992804153717e-01      -1.636129051810e-03      -1.394079806207e-06       1.968508061904e-04      -1.227096874114e-03      -1.018802357519e-44      -1.637816502181e-03      -1.395517630039e-06       1.970538295843e-04      -6.711417859055e-29                     -inf 
       7.119671416812e-01       1.538078421934e-06      -1.636193420373e-03      -9.403716838249e-07       4.265461441660e-09       1.066365360415e-08       1.216581098482e-15       2.132730720830e-09      -1.227145065280e-03      -9.403716838158e-07       6.012033063469e-01       6.992803947515e-01      -1.636193374894e-03      -1.394162115136e-06       1.968585419740e-04      -1.227145135964e-03      -1.870580723817e-44      -1.637880891595e-03      -1.395600023849e-06       1.970615733449e-04      -8.249075962736e-29                     -inf 
       7.120374554898e-01       1.538230517662e-06      -1.636516213454e-03      -9.406501680165e-07       4.266726490196e-09       1.066681622549e-08       1.217182602530e-15       2.133363245098e-09      -1.227387160091e-03      -9.406501679988e-07       6.012032623201e-01       6.992802912901e-01      -1.636516125424e-03      -1.394575136711e-06       1.968973574069e-04      -1.227387296906e-03      -1.458616295636e-43      -1.638203974978e-03      -1.396013471378e-06       1.971004288073e-04      -1.596358543886e-28                     -inf 
       7.121077692985e-01       1.538382613429e-06      -1.636839038376e-03      -9.409287071114e-07       4.267991789070e-09       1.066997947268e-08       1.217784344600e-15       2.133995894535e-09      -1.227629278782e-03      -9.409287070852e-07       6.012032182813e-01       6.992801878235e-01      -1.636838907783e-03      -1.394988239743e-06       1.969361766702e-04      -1.227629481747e-03      -4.607043421745e-43      -1.638527090275e-03      -1.396427000492e-06       1.971392881104e-04      -2.367732838877e-28                     -inf 
       7.121780831071e-01       1.538534709234e-06      -1.637161895137e-03      -9.412073011149e-07       4.269257338286e-09       1.067314334572e-08       1.218386324758e-15       2.134628669143e-09      -1.227871421353e-03      -9.412073010801e-07       6.012031742318e-01       6.992800843532e-01      -1.637161721970e-03      -1.395401424239e-06       1.969749997638e-04      -1.227871690489e-03      -1.049185163920e-42      -1.638850237480e-03      -1.396840611196e-06       1.971781512536e-04      -3.139030540914e-28                     -inf 
       7.122483969158e-01       1.538686805077e-06      -1.637484783739e-03      -9.414859500324e-07       4.270523137843e-09       1.067630784461e-08       1.218988543067e-15       2.135261568922e-09      -1.228113587805e-03      -9.414859499890e-07       6.012031301731e-01       6.992799808809e-01      -1.637484567984e-03      -1.395814690207e-06       1.970138266878e-04      -1.228113923130e-03      -2.000716173626e-42      -1.639173416591e-03      -1.397254303494e-06       1.972170182363e-04      -3.910251710111e-28                     -inf 
       7.123944731674e-01       1.539002782833e-06      -1.638155683446e-03      -9.420650160081e-07       4.273153624356e-09       1.068288406089e-08       1.220240407311e-15       2.136576812178e-09      -1.228616762584e-03      -9.420650159469e-07       6.012030386180e-01       6.992797659180e-01      -1.638155379175e-03      -1.396673506704e-06       1.970945014881e-04      -1.228617235481e-03      -5.512438088818e-42      -1.639844920014e-03      -1.398114006061e-06       1.972977762859e-04      -5.512211770953e-28                     -inf 
       7.125405494191e-01       1.539318760754e-06      -1.638826720574e-03      -9.426443190616e-07       4.275785191355e-09       1.068946297839e-08       1.221493300257e-15       2.137892595677e-09      -1.229120040431e-03      -9.426443189826e-07       6.012029470414e-01       6.992795509665e-01      -1.638826327732e-03      -1.397532674938e-06       1.971751928200e-04      -1.229120650983e-03      -1.176918008351e-41      -1.640516561083e-03      -1.398974060845e-06       1.973785509007e-04      -7.113842314776e-28                     -inf 
       7.126866256708e-01       1.539634738842e-06      -1.639497895124e-03      -9.432238592420e-07       4.278417838866e-09       1.069604459716e-08       1.222747222484e-15       2.139208919433e-09      -1.229623421343e-03      -9.432238591452e-07       6.012028554546e-01       6.992793360390e-01      -1.639497413657e-03      -1.398392194982e-06       1.972559006835e-04      -1.229624169636e-03      -2.158292835909e-41      -1.641188339766e-03      -1.399834467891e-06       1.974593420767e-04      -8.715143881447e-28                     -inf 
