# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.645045950940e-10       7.586006490140e-15       2.382561744563e-13       0.000000000000e+00       9.046339143956e-11       9.751301105277e-12      -8.351256607308e-15 
   41       1.668978302491e-10       8.234293911727e-15       2.286722451812e-13       0.000000000000e+00       8.598778193199e-11       9.311579171604e-12      -6.389574669396e-15 
   42       1.693007339626e-10       8.921239421850e-15       2.180548272826e-13       0.000000000000e+00       8.180192305239e-11       8.896418303349e-12      -5.644119124668e-15 
   43       1.717224558740e-10       9.646379298119e-15       2.062925958379e-13       0.000000000000e+00       7.789473551852e-11       8.506497134968e-12      -5.882713636482e-15 
   44       1.741700929990e-10       1.040892610038e-14       1.932520368977e-13       0.000000000000e+00       7.423783528075e-11       8.141165796026e-12      -6.802860897367e-15 
   45       1.766483485865e-10       1.120805215889e-14       1.787875832317e-13       0.000000000000e+00       7.079567857228e-11       7.798889571809e-12      -8.072933626546e-15 
   46       1.791589982926e-10       1.204388697431e-14       1.627792827254e-13       0.000000000000e+00       6.756286053140e-11       7.479007154315e-12      -9.481083842178e-15 
   47       1.817008232044e-10       1.291678488956e-14       1.451037582561e-13       0.000000000000e+00       6.453562377043e-11       7.180303788507e-12      -1.082316286010e-14 
   48       1.842694205210e-10       1.382704605752e-14       1.256226493331e-13       0.000000000000e+00       6.170060801495e-11       6.900419113350e-12      -1.185903665324e-14 
   49       1.868569394683e-10       1.477491442303e-14       1.041817370409e-13       0.000000000000e+00       5.903413595275e-11       6.635765094119e-12      -1.231069837582e-14 
   50       1.894552958736e-10       1.576058661717e-14       8.065350374111e-14       0.000000000000e+00       5.650934611929e-11       6.382566314902e-12      -1.195047047867e-14 
   51       1.920674572317e-10       1.678424616800e-14       5.508046141514e-14       0.000000000000e+00       5.412153090779e-11       6.140504146757e-12      -1.089821467564e-14 
   52       1.946987643550e-10       1.784603508768e-14       2.756921558991e-14       0.000000000000e+00       5.186844182166e-11       5.909919888766e-12      -9.401533645284e-15 
   53       1.973536224381e-10       1.894604230291e-14      -1.748427908662e-15       0.000000000000e+00       4.974270685852e-11       5.690750305057e-12      -7.755028666094e-15 
   54       2.000354006738e-10       2.008430215047e-14      -3.271429402421e-14       0.000000000000e+00       4.773148563143e-11       5.482498374061e-12      -6.302651650841e-15 
   55       2.027464745420e-10       2.126080996410e-14      -6.518233211932e-14       0.000000000000e+00       4.582038818699e-11       5.284463152343e-12      -5.357160935802e-15 
   56       2.054885949473e-10       2.247557681626e-14      -9.914797299203e-14       0.000000000000e+00       4.400716156532e-11       5.096563246387e-12      -4.929669308174e-15 
   57       2.082624349536e-10       2.372858574011e-14      -1.346488594441e-13       0.000000000000e+00       4.229079919317e-11       4.918666673901e-12      -4.937029675567e-15 
   58       2.110673623849e-10       2.501977500925e-14      -1.717283673505e-13       0.000000000000e+00       4.066740020751e-11       4.750330933801e-12      -5.277986290141e-15 
   59       2.139013450008e-10       2.634903729908e-14      -2.104359820238e-13       0.000000000000e+00       3.912999069479e-11       4.590783850831e-12      -5.832297059173e-15 
   60       2.167608556715e-10       2.771621884822e-14      -2.508276745775e-13       0.000000000000e+00       3.766834493026e-11       4.438904420196e-12      -6.459855855624e-15 
   61       2.196423612990e-10       2.912106271034e-14      -2.929544347275e-13       0.000000000000e+00       3.627182545211e-11       4.293526501158e-12      -7.029639541536e-15 
   62       2.225473946386e-10       3.056302552226e-14      -3.368240099581e-13       0.000000000000e+00       3.493905263078e-11       4.154472890253e-12      -7.516127292582e-15 
   63       2.254784578147e-10       3.204141793218e-14      -3.824312070813e-13       0.000000000000e+00       3.367009820184e-11       4.021720421681e-12      -7.923064644278e-15 
   64       2.284374953407e-10       3.355545431916e-14      -4.297689785392e-13       0.000000000000e+00       3.246357662292e-11       3.895088864957e-12      -8.255615808399e-15 
   65       2.314258495451e-10       3.510425018049e-14      -4.788284229799e-13       0.000000000000e+00       3.131656209836e-11       3.774232013294e-12      -8.520432299130e-15 
   66       2.344442159978e-10       3.668681951917e-14      -5.295987858346e-13       0.000000000000e+00       3.022450560383e-11       3.658628771983e-12      -8.725721559219e-15 
   67       2.374925989363e-10       3.830207223129e-14      -5.820674598943e-13       0.000000000000e+00       2.918115191099e-11       3.547574246775e-12      -8.881315586129e-15 
   68       2.405707783418e-10       3.994893212493e-14      -6.362199333131e-13       0.000000000000e+00       2.818021039881e-11       3.440377555725e-12      -8.997649305737e-15 
   69       2.436799207046e-10       4.162672458583e-14      -6.920396200961e-13       0.000000000000e+00       2.722094609402e-11       3.337021728770e-12      -9.082301911147e-15 
   70       2.468212160671e-10       4.333486313058e-14      -7.495079961417e-13       0.000000000000e+00       2.630357766736e-11       3.237622126325e-12      -9.142874771053e-15 
   71       2.499953643291e-10       4.507273618945e-14      -8.086046480221e-13       0.000000000000e+00       2.542758644662e-11       3.142227987096e-12      -9.188059686329e-15 
   72       2.532025437594e-10       4.683970757904e-14      -8.693072722147e-13       0.000000000000e+00       2.459167829519e-11       3.050818803512e-12      -9.227679632492e-15 
   73       2.564423795075e-10       4.863511697493e-14      -9.315916743347e-13       0.000000000000e+00       2.379374549057e-11       2.963300697146e-12      -9.272729502152e-15 
   74       2.597139121158e-10       5.045828038425e-14      -9.954317683666e-13       0.000000000000e+00       2.303082860288e-11       2.879502794143e-12      -9.335416847474e-15 
   75       2.630155660311e-10       5.230849061838e-14      -1.060799575897e-12       0.000000000000e+00       2.229907837339e-11       2.799173600651e-12      -9.429202622634e-15 
   76       2.663457930311e-10       5.418485806794e-14      -1.127662331833e-12       0.000000000000e+00       2.159471131274e-11       2.722047678659e-12      -9.564902211245e-15 
   77       2.697052075664e-10       5.608579846219e-14      -1.195973193940e-12       0.000000000000e+00       2.091716194263e-11       2.648067722778e-12      -9.738077610034e-15 
   78       2.730947854096e-10       5.800945212477e-14      -1.265678829875e-12       0.000000000000e+00       2.026643879224e-11       2.577196583265e-12      -9.939409488260e-15 
