# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:d_tot                  8:phi                    9:psi                
       5.192672090452e-04      -8.699963949380e-01      -2.385083027222e+00      -2.379672470311e+00      -8.309508603668e-01       3.722694151397e-02      -7.173004794957e-01       4.765344133427e-01       4.765281861411e-01 
       5.547771380410e-04      -8.253078984825e-01      -2.720766444734e+00      -2.713852570609e+00      -7.826701437097e-01       4.195397761027e-02      -8.183968207090e-01       4.756100561614e-01       4.756101595755e-01 
       5.927939374076e-04      -7.652283653338e-01      -3.104290485188e+00      -3.095473541836e+00      -7.201509927594e-01       4.720445195926e-02      -9.339547649782e-01       4.745954501660e-01       4.746007167629e-01 
       6.335181973787e-04      -6.939780265112e-01      -3.542736377197e+00      -3.531517630901e+00      -6.482374295289e-01       5.301353572254e-02      -1.066134093701e+00       4.734865296274e-01       4.734955728876e-01 
       6.771502426042e-04      -6.182622290685e-01      -4.044068340204e+00      -4.029830092473e+00      -5.742784028993e-01       5.940809936489e-02      -1.217370791151e+00       4.722807608682e-01       4.722920521542e-01 
       7.238850218712e-04      -5.468521379125e-01      -4.617153097103e+00      -4.599137195508e+00      -5.075723143044e-01       6.640216085724e-02      -1.390385823186e+00       4.709776473447e-01       4.709896386638e-01 
       7.739061218604e-04      -4.892834374716e-01      -5.271746024576e+00      -5.249031912678e+00      -4.578644476384e-01       7.399170487498e-02      -1.588184129807e+00       4.695792448015e-01       4.695905317570e-01 
       8.273791673343e-04      -4.535528526443e-01      -6.018435701192e+00      -5.989919732185e+00      -4.328031811915e-01       8.214930271789e-02      -1.814041133852e+00       4.680905371894e-01       4.681000406993e-01 
       8.844450233444e-04      -4.431178857829e-01      -6.868541930025e+00      -6.832919999321e+00      -4.347334974616e-01       9.081932050399e-02      -2.071474805966e+00       4.665197226135e-01       4.665268495010e-01 
       9.452133467501e-04      -4.541617590329e-01      -7.833964558674e+00      -7.789720280788e+00      -4.579129768776e-01       9.991472010160e-02      -2.364201897942e+00       4.648781615656e-01       4.648828904395e-01 
       1.009757107181e-03      -4.747230856831e-01      -8.926987831185e+00      -8.872388504465e+00      -4.878929956140e-01       1.093166845914e-01      -2.696079132454e+00       4.631800543877e-01       4.631828955338e-01 
       1.078108678057e-03      -4.873520568894e-01      -1.016004926725e+01      -1.009315060049e+01      -5.048079476483e-01       1.188780874005e-01      -3.071031276836e+00       4.614417402796e-01       4.614435470348e-01 
       1.150257970235e-03      -4.758032075652e-01      -1.154548839625e+01      -1.146414885957e+01      -4.909874845099e-01       1.284315449984e-01      -3.492970388922e+00       4.596806628325e-01       4.596823277980e-01 
       1.226152855935e-03      -4.337639974217e-01      -1.309529299592e+01      -1.299719662249e+01      -4.405466133256e-01       1.378015747141e-01      -3.965711336832e+00       4.579141090399e-01       4.579162433635e-01 
       1.305701849943e-03      -3.708250867563e-01      -1.482086333551e+01      -1.470354339095e+01      -3.656356800609e-01       1.468195626119e-01      -4.492888727041e+00       4.561577120947e-01       4.561604431289e-01 
       1.388778738337e-03      -3.101945226960e-01      -1.673278816566e+01      -1.659365890099e+01      -2.934558108425e-01       1.553388538702e-01      -5.077878517502e+00       4.544238000287e-01       4.544267935432e-01 
       1.475228631613e-03      -2.763344980539e-01      -1.884069957012e+01      -1.867707945919e+01      -2.523142527749e-01       1.632475409642e-01      -5.723740480333e+00       4.527209392493e-01       4.527236487653e-01 
       1.564874808506e-03      -2.781547330034e-01      -2.115323787770e+01      -2.096237042377e+01      -2.531219540238e-01       1.704762164611e-01      -6.433199662191e+00       4.510552512404e-01       4.510572648695e-01 
       1.657525718141e-03      -2.997168064735e-01      -2.367789636849e+01      -2.345696670560e+01      -2.793295534878e-01       1.769976204966e-01      -7.208596171097e+00       4.494280058161e-01       4.494292867022e-01 
       1.752981601774e-03      -3.085351296385e-01      -2.642104873285e+01      -2.616719695918e+01      -2.959188028252e-01       1.828210471770e-01      -8.051897523364e+00       4.478376260998e-01       4.478384970644e-01 
       1.851040344241e-03      -2.793288373937e-01      -2.938797905089e+01      -2.909830900136e+01      -2.747494600596e-01       1.879820238676e-01      -8.964716148995e+00       4.462807668432e-01       4.462816574896e-01 
       1.951502329638e-03      -2.161776699335e-01      -3.258294140634e+01      -3.225453184851e+01      -2.179106917352e-01       1.925310129661e-01      -9.948338496461e+00       4.447533475212e-01       4.447544914745e-01 
       2.054174224054e-03      -1.527906343780e-01      -3.600923947285e+01      -3.563915405079e+01      -1.579662396920e-01       1.965235524203e-01      -1.100375634295e+01       4.432511762826e-01       4.432524818140e-01 
       2.158871722256e-03      -1.263765424162e-01      -3.966932009057e+01      -3.925461872784e+01      -1.311584985406e-01       2.000141135454e-01      -1.213169816565e+01       4.417702592413e-01       4.417714381042e-01 
       2.265421369537e-03      -1.450906908625e-01      -4.356486892272e+01      -4.310261702330e+01      -1.449524484693e-01       2.030533635976e-01      -1.333265728984e+01       4.403068410037e-01       4.403076726776e-01 
       2.373661608189e-03      -1.790024803340e-01      -4.769690717883e+01      -4.718418436521e+01      -1.702975780278e-01       2.056879740011e-01      -1.460692129540e+01       4.388574758144e-01       4.388579816480e-01 
       2.483443208363e-03      -1.859936074659e-01      -5.206588122508e+01      -5.149978689387e+01      -1.685194082873e-01       2.079612381665e-01      -1.595460114470e+01       4.374191164136e-01       4.374195100511e-01 
       2.594629234771e-03      -1.505960519276e-01      -5.667174604264e+01      -5.604940344948e+01      -1.288038309757e-01       2.099134246887e-01      -1.737566013088e+01       4.359892311180e-01       4.359897142247e-01 
       2.707094681937e-03      -9.838237948606e-02      -6.151403992508e+01      -6.083259740284e+01      -7.902459645246e-02       2.115814680959e-01      -1.886993783813e+01       4.345658087686e-01       4.345664088937e-01 
       2.820725887674e-03      -7.024023185117e-02      -6.659195354716e+01      -6.584858535202e+01      -5.738295458670e-02       2.129985095157e-01      -2.043716943633e+01       4.331472815767e-01       4.331478695267e-01 
       2.935419811245e-03      -8.123538838664e-02      -7.190437879932e+01      -7.109628422328e+01      -7.285381139066e-02       2.141936826730e-01      -2.207699686959e+01       4.317323237375e-01       4.317327680772e-01 
       3.051083241567e-03      -1.061691654085e-01      -7.744996652277e+01      -7.657436974641e+01      -9.600251680359e-02       2.151924496068e-01      -2.378898570119e+01       4.303198491014e-01       4.303201435954e-01 
