# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 36.0195 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.326304201474e-02       2.366349095358e+04 
       1.339212117666e-02       2.370694940420e+04 
       1.352123651170e-02       2.374825639584e+04 
       1.365038808780e-02       2.378746625807e+04 
       1.377957599677e-02       2.382457899044e+04 
       1.390880035384e-02       2.385962792822e+04 
       1.403806129729e-02       2.389265120479e+04 
       1.416735898803e-02       2.392367279045e+04 
       1.429669360931e-02       2.395271950575e+04 
       1.442606536638e-02       2.397978112121e+04 
       1.455547448629e-02       2.400492225912e+04 
       1.468492121757e-02       2.402816151852e+04 
       1.481440583012e-02       2.404954182624e+04 
       1.494392861493e-02       2.406903608965e+04 
       1.507348988403e-02       2.408670916653e+04 
       1.520308997027e-02       2.410257619938e+04 
       1.533272922732e-02       2.411667639824e+04 
       1.546240802948e-02       2.412901358104e+04 
       1.559212677176e-02       2.413961612869e+04 
       1.572188586971e-02       2.414851605463e+04 
       1.585168575954e-02       2.415573652142e+04 
       1.598152689804e-02       2.416126568229e+04 
       1.611140976265e-02       2.416517762820e+04 
       1.624133485152e-02       2.416744829051e+04 
       1.637130268356e-02       2.416811634229e+04 
       1.650131379857e-02       2.416723884955e+04 
       1.663136875729e-02       2.416479909004e+04 
       1.676146814158e-02       2.416081759541e+04 
       1.689161255454e-02       2.415530976581e+04 
       1.702180262069e-02       2.414837487582e+04 
       1.715203898614e-02       2.413994571270e+04 
       1.728232231878e-02       2.413004642252e+04 
       1.741265330851e-02       2.411878097737e+04 
       1.754303266748e-02       2.410607868371e+04 
       1.767346113031e-02       2.409197535749e+04 
       1.780393945437e-02       2.407652350185e+04 
       1.793446842009e-02       2.405978989542e+04 
       1.806504883119e-02       2.404169286904e+04 
       1.819568151507e-02       2.402229659870e+04 
       1.832636732311e-02       2.400162227211e+04 
       1.845710713099e-02       2.397971622646e+04 
       1.858790183911e-02       2.395654265000e+04 
       1.871875237294e-02       2.393217561387e+04 
       1.884965968342e-02       2.390658559052e+04 
       1.898062474738e-02       2.387983818849e+04 
       1.911164856799e-02       2.385190307067e+04 
       1.924273217518e-02       2.382283336652e+04 
       1.937387662614e-02       2.379262112677e+04 
       1.950508300578e-02       2.376137611608e+04 
       1.963635242727e-02       2.372899871233e+04 
       1.976768603252e-02       2.369554778027e+04 
       1.989908499278e-02       2.366102395984e+04 
       2.003055050913e-02       2.362554553996e+04 
       2.016208381313e-02       2.358896442664e+04 
       2.029368616739e-02       2.355142113393e+04 
       2.042535886620e-02       2.351294827384e+04 
       2.055710323616e-02       2.347348003799e+04 
       2.068892063687e-02       2.343308641177e+04 
       2.082081246158e-02       2.339167403823e+04 
       2.095278013797e-02       2.334947912476e+04 
       2.108482512878e-02       2.330635085881e+04 
       2.121694893267e-02       2.326232792365e+04 
       2.134915308491e-02       2.321743283616e+04 
       2.148143915828e-02       2.317171471206e+04 
       2.161380876379e-02       2.312517343843e+04 
       2.174626355164e-02       2.307783920809e+04 
       2.187880521204e-02       2.302968535610e+04 
       2.201143547614e-02       2.298076161540e+04 
       2.214415611699e-02       2.293108256621e+04 
       2.227696895047e-02       2.288067185709e+04 
       2.240987583631e-02       2.282947739900e+04 
       2.254287867916e-02       2.277761531166e+04 
       2.267597942956e-02       2.272506820647e+04 
       2.280918008515e-02       2.267173520923e+04 
       2.294248269170e-02       2.261781995741e+04 
       2.307588934435e-02       2.256325083692e+04 
       2.320940218876e-02       2.250797891976e+04 
       2.334302342241e-02       2.245215928104e+04 
       2.347675529581e-02       2.239570371917e+04 
       2.361060011387e-02       2.233856598980e+04 
       2.374456023726e-02       2.228092680518e+04 
       2.387863808380e-02       2.222271235103e+04 
       2.401283612989e-02       2.216389572348e+04 
       2.414715691206e-02       2.210459805030e+04 
       2.428160302848e-02       2.204473000533e+04 
       2.441617714055e-02       2.198431289729e+04 
       2.455088197457e-02       2.192340012933e+04 
       2.468572032343e-02       2.186203321184e+04 
       2.482069504834e-02       2.180015384691e+04 
       2.495580908068e-02       2.173784311093e+04 
       2.509106542386e-02       2.167504226228e+04 
       2.522646715523e-02       2.161191593370e+04 
       2.536201742813e-02       2.154815279312e+04 
       2.549771947389e-02       2.148410193988e+04 
       2.563357660402e-02       2.141958573874e+04 
       2.576959221239e-02       2.135473051770e+04 
       2.590576977752e-02       2.128942011870e+04 
       2.604211286494e-02       2.122377774399e+04 
       2.617862512961e-02       2.115785756666e+04 
       2.631531031849e-02       2.109149082887e+04 
       2.645217227310e-02       2.102478418639e+04 
       2.658921493227e-02       2.095779033164e+04 
       2.672644233492e-02       2.089049666340e+04 
       2.686385862295e-02       2.082284587534e+04 
       2.700146804427e-02       2.075488181614e+04 
       2.713927495589e-02       2.068661660258e+04 
       2.727728382713e-02       2.061816813502e+04 
       2.741549924302e-02       2.054942895520e+04 
       2.755392590767e-02       2.048042039608e+04 
       2.769256864796e-02       2.041113515762e+04 
       2.783143241720e-02       2.034166250325e+04 
       2.797052229901e-02       2.027193750317e+04 
       2.810984351135e-02       2.020202428901e+04 
       2.824940141065e-02       2.013180101181e+04 
       2.838920149616e-02       2.006148037311e+04 
       2.852924941443e-02       1.999094084704e+04 
       2.866955096396e-02       1.992022813023e+04 
       2.881011210009e-02       1.984927809249e+04 
       2.895093893998e-02       1.977824506806e+04 
       2.909203776787e-02       1.970696300479e+04 
       2.923341504057e-02       1.963557094557e+04 
       2.937507739306e-02       1.956404498354e+04 
       2.951703164444e-02       1.949244213729e+04 
       2.965928480405e-02       1.942062298646e+04 
       2.980184407788e-02       1.934872723094e+04 
       2.994471687524e-02       1.927665260239e+04 
       3.008791081566e-02       1.920456710821e+04 
       3.023143373620e-02       1.913232639420e+04 
       3.037529369895e-02       1.905999522836e+04 
       3.051949899891e-02       1.898759894533e+04 
       3.066405817224e-02       1.891511915621e+04 
       3.080898000482e-02       1.884255669023e+04 
       3.095427354121e-02       1.876991828406e+04 
       3.109994809404e-02       1.869726599153e+04 
       3.124601325376e-02       1.862448177272e+04 
       3.139247889891e-02       1.855175775545e+04 
       3.153935520678e-02       1.847895623041e+04 
       3.168665266466e-02       1.840596657259e+04 
       3.183438208154e-02       1.833314038141e+04 
       3.198255460039e-02       1.826022281362e+04 
       3.213118171104e-02       1.818728887816e+04 
       3.228027526365e-02       1.811429762483e+04 
       3.242984748286e-02       1.804134249201e+04 
       3.257991098265e-02       1.796835528187e+04 
       3.273047878189e-02       1.789531740249e+04 
       3.288156432070e-02       1.782232344445e+04 
       3.303318147766e-02       1.774943554704e+04 
       3.318534458785e-02       1.767648538841e+04 
       3.333806846184e-02       1.760352200129e+04 
       3.349136840573e-02       1.753055656588e+04 
       3.364526024212e-02       1.745764957351e+04 
       3.379976033236e-02       1.738467014939e+04 
       3.395488559984e-02       1.731188700837e+04 
       3.411065355467e-02       1.723904872782e+04 
       3.426708231965e-02       1.716615939355e+04 
       3.442419065770e-02       1.709346976078e+04 
       3.458199800085e-02       1.702073211615e+04 
       3.474052448089e-02       1.694797189792e+04 
       3.489979096171e-02       1.687536738087e+04 
       3.505981907362e-02       1.680276826932e+04 
       3.522063124963e-02       1.673028657333e+04 
       3.538225076389e-02       1.665767587814e+04 
       3.554470177248e-02       1.658522223741e+04 
       3.570800935669e-02       1.651282549508e+04 
       3.587219956887e-02       1.644045079385e+04 
       3.603729948132e-02       1.636818829618e+04 
       3.620333723810e-02       1.629592886863e+04 
       3.637034211025e-02       1.622376443013e+04 
       3.653834455459e-02       1.615157745275e+04 
