#scalar perturbations for mode k = 1.000000000000e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf          
       8.690652646661e+01       2.171976987123e-04      -2.198642107416e-05      -1.423341256053e-12       1.057101831233e-08       2.642754578084e-08       6.061618066397e-14       5.285509156167e-09      -1.648981580562e-05      -1.423341213376e-12       5.871804606303e-01       6.583601999396e-01      -2.198642107262e-05      -2.504707650154e-12       2.924794345930e-06      -1.648981580715e-05      -5.594546076172e-44      -3.302674454558e-22      -1.412744767072e-21 
       8.690759830058e+01       2.172007436631e-04      -2.198696245309e-05      -1.423390346528e-12       1.057141977809e-08       2.642854944522e-08       6.062018240743e-14       5.285709889045e-09      -1.649022183982e-05      -1.423390261171e-12       5.871809685259e-01       6.583605336201e-01      -2.198696245000e-05      -2.504797915420e-12       2.924869001839e-06      -1.649022184287e-05      -1.765805196900e-43      -6.605273943484e-22      -4.459788085500e-21 
       8.690867013454e+01       2.172037886229e-04      -2.198750383713e-05      -1.423439438090e-12       1.057182125512e-08       2.642955313781e-08       6.062418437353e-14       5.285910627561e-09      -1.649062787785e-05      -1.423439310050e-12       5.871814763989e-01       6.583608672725e-01      -2.198750383249e-05      -2.504888182928e-12       2.924943658497e-06      -1.649062788242e-05      -3.632804178099e-43      -9.907795303958e-22      -9.171005397290e-21 
       8.691334468621e+01       2.172170686043e-04      -2.198986501191e-05      -1.423653551255e-12       1.057357234058e-08       2.643393085145e-08       6.064164064455e-14       5.286786170291e-09      -1.649239875893e-05      -1.423653237026e-12       5.871836909263e-01       6.583623218983e-01      -2.198986500053e-05      -2.505281887893e-12       2.925269264124e-06      -1.649239877016e-05      -1.898693350381e-42      -2.431017169986e-21      -4.792184896711e-20 
       8.691801923788e+01       2.172303487575e-04      -2.199222628199e-05      -1.423867684727e-12       1.057532364324e-08       2.643830910811e-08       6.065910116666e-14       5.287661821622e-09      -1.649416971149e-05      -1.423867184250e-12       5.871859049454e-01       6.583637759039e-01      -2.199222626387e-05      -2.505675634733e-12       2.925594883744e-06      -1.649416972938e-05      -4.668956967807e-42      -3.871111562546e-21      -1.177971467137e-19 
       8.692269378955e+01       2.172436290825e-04      -2.199458764889e-05      -1.424081838828e-12       1.057707516087e-08       2.644268790218e-08       6.067656592777e-14       5.288537580436e-09      -1.649594073667e-05      -1.424081152040e-12       5.871881185235e-01       6.583652293618e-01      -2.199458762402e-05      -2.506069424110e-12       2.925920517579e-06      -1.649594076121e-05      -8.694513356212e-42      -5.311058214609e-21      -2.192336143736e-19 
       8.692736834122e+01       2.172569095794e-04      -2.199694911312e-05      -1.424296013672e-12       1.057882689269e-08       2.644706723172e-08       6.069403492416e-14       5.289413446344e-09      -1.649771183484e-05      -1.424295140511e-12       5.871903316843e-01       6.583666822975e-01      -2.199694908152e-05      -2.506463256261e-12       2.926246165707e-06      -1.649771186604e-05      -1.398323706047e-41      -6.750855560770e-21      -3.524557603941e-19 
       8.694861263259e+01       2.173172672102e-04      -2.200768241509e-05      -1.425269629195e-12       1.058679063122e-08       2.646697657805e-08       6.077347910685e-14       5.293395315611e-09      -1.650576181132e-05      -1.425267908244e-12       5.872003845811e-01       6.583732789085e-01      -2.200768235282e-05      -2.508253632796e-12       2.927726309064e-06      -1.650576187279e-05      -5.399456119559e-41      -1.329237363827e-20      -1.357879860353e-18 
       8.696985692397e+01       2.173776283896e-04      -2.201841772968e-05      -1.426243673628e-12       1.059475879247e-08       2.648689698117e-08       6.085301084352e-14       5.297379396234e-09      -1.651381329726e-05      -1.426241103601e-12       5.872104289567e-01       6.583798648452e-01      -2.201841763672e-05      -2.510044893877e-12       2.929206747952e-06      -1.651381338902e-05      -1.202392662712e-40      -1.983080542306e-20      -3.018857773676e-18 
       8.699110121535e+01       2.174379931177e-04      -2.202915505704e-05      -1.427218147037e-12       1.060273137796e-08       2.650682844489e-08       6.093263021259e-14       5.301365688978e-09      -1.652186629278e-05      -1.427214726646e-12       5.872204648193e-01       6.583864401194e-01      -2.202915493337e-05      -2.511837039717e-12       2.930687482406e-06      -1.652186641485e-05      -2.128093400877e-40      -2.636615346976e-20      -5.332181681882e-18 
