# Matter power spectrum P(k) at redshift z=0
# for k=1.48588e-07 to 11.3904 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.326304201474e-02       2.377851491877e+04 
       1.339212117666e-02       2.382418689374e+04 
       1.352123651170e-02       2.386771361443e+04 
       1.365038808780e-02       2.390914895810e+04 
       1.377957599677e-02       2.394849217488e+04 
       1.390880035384e-02       2.398577603657e+04 
       1.403806129729e-02       2.402103814693e+04 
       1.416735898803e-02       2.405430186965e+04 
       1.429669360931e-02       2.408559343880e+04 
       1.442606536638e-02       2.411490181368e+04 
       1.455547448629e-02       2.414229126539e+04 
       1.468492121757e-02       2.416777976795e+04 
       1.481440583012e-02       2.419140978261e+04 
       1.494392861493e-02       2.421315330312e+04 
       1.507348988403e-02       2.423307487134e+04 
       1.520308997027e-02       2.425118899863e+04 
       1.533272922732e-02       2.426753443094e+04 
       1.546240802948e-02       2.428211428739e+04 
       1.559212677176e-02       2.429495642148e+04 
       1.572188586971e-02       2.430609235323e+04 
       1.585168575954e-02       2.431554469720e+04 
       1.598152689804e-02       2.432330080733e+04 
       1.611140976265e-02       2.432943460925e+04 
       1.624133485152e-02       2.433392115399e+04 
       1.637130268356e-02       2.433679870334e+04 
       1.650131379857e-02       2.433812406865e+04 
       1.663136875729e-02       2.433787971380e+04 
       1.676146814158e-02       2.433608564525e+04 
       1.689161255454e-02       2.433275670352e+04 
       1.702180262069e-02       2.432799229475e+04 
       1.715203898614e-02       2.432172399893e+04 
       1.728232231878e-02       2.431397549240e+04 
       1.741265330851e-02       2.430485096453e+04 
       1.754303266748e-02       2.429427848098e+04 
       1.767346113031e-02       2.428229351361e+04 
       1.780393945437e-02       2.426894838310e+04 
       1.793446842009e-02       2.425430983476e+04 
       1.806504883119e-02       2.423829485687e+04 
       1.819568151507e-02       2.422096757840e+04 
       1.832636732311e-02       2.420234877117e+04 
       1.845710713099e-02       2.418248460059e+04 
       1.858790183911e-02       2.416133832884e+04 
       1.871875237294e-02       2.413898413466e+04 
       1.884965968342e-02       2.411539163171e+04 
       1.898062474738e-02       2.409062648571e+04 
       1.911164856799e-02       2.406465750060e+04 
       1.924273217518e-02       2.403753776668e+04 
       1.937387662614e-02       2.400925870493e+04 
       1.950508300578e-02       2.397993064581e+04 
       1.963635242727e-02       2.394945242959e+04 
       1.976768603252e-02       2.391788298857e+04 
       1.989908499278e-02       2.388522244653e+04 
       2.003055050913e-02       2.385158982522e+04 
       2.016208381313e-02       2.381683496503e+04 
       2.029368616739e-02       2.378109937319e+04 
       2.042535886620e-02       2.374441553930e+04 
       2.055710323616e-02       2.370671646403e+04 
       2.068892063687e-02       2.366807242756e+04 
       2.082081246158e-02       2.362838856476e+04 
       2.095278013797e-02       2.358790327596e+04 
       2.108482512878e-02       2.354646361369e+04 
       2.121694893267e-02       2.350410825459e+04 
       2.134915308491e-02       2.346085953967e+04 
       2.148143915828e-02       2.341676673433e+04 
       2.161380876379e-02       2.337182931450e+04 
       2.174626355164e-02       2.332607742792e+04 
       2.187880521204e-02       2.327948369292e+04 
       2.201143547614e-02       2.323209804925e+04 
       2.214415611699e-02       2.318393487567e+04 
       2.227696895047e-02       2.313501774112e+04 
       2.240987583631e-02       2.308529354197e+04 
       2.254287867916e-02       2.303487948793e+04 
       2.267597942956e-02       2.298375763324e+04 
       2.280918008515e-02       2.293182547044e+04 
       2.294248269170e-02       2.287928890581e+04 
       2.307588934435e-02       2.282607509157e+04 
       2.320940218876e-02       2.277213413719e+04 
       2.334302342241e-02       2.271762284355e+04 
       2.347675529581e-02       2.266245155129e+04 
       2.361060011387e-02       2.260657308942e+04 
       2.374456023726e-02       2.255017030972e+04 
       2.387863808380e-02       2.249316813327e+04 
       2.401283612989e-02       2.243553901052e+04 
       2.414715691206e-02       2.237740547295e+04 
       2.428160302848e-02       2.231867670503e+04 
       2.441617714055e-02       2.225937405266e+04 
       2.455088197457e-02       2.219955142458e+04 
       2.468572032343e-02       2.213925069207e+04 
       2.482069504834e-02       2.207841249881e+04 
       2.495580908068e-02       2.201711886662e+04 
       2.509106542386e-02       2.195530999007e+04 
