#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf          
       7.008929887714e-01       1.514140132909e-06      -1.635830212876e-03      -9.547368106207e-07       3.875586788194e-09       9.688966970485e-09       1.004106609249e-15       1.937793394097e-09      -1.226872659657e-03      -9.547368106207e-07       6.011326791314e-01       6.991780286942e-01      -1.635830212796e-03      -1.415545058816e-06       1.968137472083e-04      -1.226872659782e-03      -9.823652518195e-57      -1.404334482308e-30                     -inf 
       7.008931194312e-01       1.514140415533e-06      -1.635830822102e-03      -9.547373442543e-07       3.875588957274e-09       9.688972393185e-09       1.004107546072e-15       1.937794478637e-09      -1.226873116576e-03      -9.547373442543e-07       6.011326790619e-01       6.991780285257e-01      -1.635830821941e-03      -1.415545850316e-06       1.968138204815e-04      -1.226873116826e-03      -3.100463333147e-56      -2.808668719989e-30                     -inf 
       7.008932500910e-01       1.514140698158e-06      -1.635831431328e-03      -9.547378778882e-07       3.875591126354e-09       9.688977815886e-09       1.004108482896e-15       1.937795563177e-09      -1.226873573496e-03      -9.547378778881e-07       6.011326789925e-01       6.991780283571e-01      -1.635831431087e-03      -1.415546641816e-06       1.968138937547e-04      -1.226873573870e-03      -6.378240266461e-56      -4.213002696858e-30                     -inf 
       7.008945566890e-01       1.514143524404e-06      -1.635837523595e-03      -9.547432142370e-07       3.875612817207e-09       9.689032043017e-09       1.004117851173e-15       1.937806408603e-09      -1.226878142696e-03      -9.547432142368e-07       6.011326782977e-01       6.991780266714e-01      -1.635837522551e-03      -1.415554556833e-06       1.968146264876e-04      -1.226878144318e-03      -1.010133428285e-54      -1.825632942302e-29                     -inf 
       7.008958632871e-01       1.514146350650e-06      -1.635843615873e-03      -9.547485506055e-07       3.875634508141e-09       9.689086270352e-09       1.004127219520e-15       1.937817254070e-09      -1.226882711905e-03      -9.547485506051e-07       6.011326776029e-01       6.991780249856e-01      -1.635843614027e-03      -1.415562471880e-06       1.968153592219e-04      -1.226882714774e-03      -3.109224343834e-54      -3.229963053979e-29                     -inf 
       7.008971698851e-01       1.514149176896e-06      -1.635849708163e-03      -9.547538869938e-07       3.875656199156e-09       9.689140497890e-09       1.004136587937e-15       1.937828099578e-09      -1.226887281122e-03      -9.547538869933e-07       6.011326769081e-01       6.991780232997e-01      -1.635849705513e-03      -1.415570386955e-06       1.968160919575e-04      -1.226887285239e-03      -6.369153906608e-54      -4.634290550201e-29                     -inf 
       7.008984764832e-01       1.514152003142e-06      -1.635855800463e-03      -9.547592234020e-07       3.875677890252e-09       9.689194725630e-09       1.004145956424e-15       1.937838945126e-09      -1.226891850348e-03      -9.547592234013e-07       6.011326762133e-01       6.991780216139e-01      -1.635855797011e-03      -1.415578302060e-06       1.968168246944e-04      -1.226891855712e-03      -1.079275862349e-53      -6.038615412037e-29                     -inf 
       7.009115424636e-01       1.514180265603e-06      -1.635916724096e-03      -9.548125885760e-07       3.875894805663e-09       9.689737014157e-09       1.004239645142e-15       1.937947402831e-09      -1.226937543072e-03      -9.548125885737e-07       6.011326692654e-01       6.991780047559e-01      -1.635916712616e-03      -1.415657454732e-06       1.968241521393e-04      -1.226937560911e-03      -1.190762810457e-52      -2.008171891690e-28                     -inf 
       7.009246084441e-01       1.514208528065e-06      -1.635977648862e-03      -9.548659557361e-07       3.876111729165e-09       9.690279322912e-09       1.004333340853e-15       1.938055864582e-09      -1.226983236647e-03      -9.548659557322e-07       6.011326623176e-01       6.991779878983e-01      -1.635977629353e-03      -1.415736610350e-06       1.968314797205e-04      -1.226983266962e-03      -3.438107370800e-52      -3.412455869707e-28                     -inf 
       7.009376744246e-01       1.514236790529e-06      -1.636038574763e-03      -9.549193248823e-07       3.876328660757e-09       9.690821651893e-09       1.004427043559e-15       1.938164330379e-09      -1.227028931072e-03      -9.549193248768e-07       6.011326553702e-01       6.991779710412e-01      -1.636038547225e-03      -1.415815768916e-06       1.968388074381e-04      -1.227028973864e-03      -6.850288758652e-52      -4.816713476570e-28                     -inf 
       7.009507404050e-01       1.514265052993e-06      -1.636099501797e-03      -9.549726960147e-07       3.876545600441e-09       9.691364001101e-09       1.004520753260e-15       1.938272800220e-09      -1.227074626348e-03      -9.549726960077e-07       6.011326484229e-01       6.991779541846e-01      -1.636099466230e-03      -1.415894930429e-06       1.968461352922e-04      -1.227074681617e-03      -1.142761512282e-51      -6.220944715878e-28                     -inf 
       7.010502929452e-01       1.514480390890e-06      -1.636563755332e-03      -9.553794074770e-07       3.878198776652e-09       9.695496941629e-09       1.005234977525e-15       1.939099388326e-09      -1.227422816499e-03      -9.553794074579e-07       6.011325954983e-01       6.991778257656e-01      -1.636563658570e-03      -1.416498175960e-06       1.969019722822e-04      -1.227422966858e-03      -8.461294028071e-51      -1.691922188082e-27                     -inf 
       7.011498454853e-01       1.514695728864e-06      -1.637028074703e-03      -9.557862342618e-07       3.879852422687e-09       9.699631056718e-09       1.005949608062e-15       1.939926211344e-09      -1.227771056027e-03      -9.557862342306e-07       6.011325425847e-01       6.991776973705e-01      -1.637027916721e-03      -1.417101592621e-06       1.969578171921e-04      -1.227771301518e-03      -2.255951412427e-50      -2.761597032074e-27                     -inf 
       7.012493980254e-01       1.514911066915e-06      -1.637492459911e-03      -9.561931763847e-07       3.881506538664e-09       9.703766346660e-09       1.006664645059e-15       1.940753269332e-09      -1.228119344933e-03      -9.561931763413e-07       6.011324896790e-01       6.991775689956e-01      -1.637492240682e-03      -1.417705180434e-06       1.970136700221e-04      -1.228119685594e-03      -4.345031019830e-50      -3.831119174053e-27                     -inf 
