# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
   70       2.483026566585e-10       4.382156193279e-14      -7.676102149159e-13       0.000000000000e+00 
   71       2.515042713527e-10       4.557479941632e-14      -8.274351387053e-13       0.000000000000e+00 
   72       2.547391384839e-10       4.735705094433e-14      -8.888730854666e-13       0.000000000000e+00 
   73       2.580069522550e-10       4.916756066809e-14      -9.518964989171e-13       0.000000000000e+00 
   74       2.613068285737e-10       5.100554089606e-14      -1.016475618616e-12       0.000000000000e+00 
   75       2.646372737425e-10       5.287017231835e-14      -1.082578469572e-12       0.000000000000e+00 
   76       2.679968087383e-10       5.476046604337e-14      -1.150168898779e-12       0.000000000000e+00 
   77       2.713860426925e-10       5.667482016708e-14      -1.219200294416e-12       0.000000000000e+00 
   78       2.748059223921e-10       5.861138237404e-14      -1.289620697113e-12       0.000000000000e+00 
   79       2.782570926543e-10       6.056817838453e-14      -1.361374601795e-12       0.000000000000e+00 
   80       2.817398784596e-10       6.254310934533e-14      -1.434402907241e-12       0.000000000000e+00 
   81       2.852542670847e-10       6.453394922043e-14      -1.508642865644e-12       0.000000000000e+00 
   82       2.887998902353e-10       6.653834218185e-14      -1.584028032170e-12       0.000000000000e+00 
   83       2.923760061790e-10       6.855380000036e-14      -1.660488214519e-12       0.000000000000e+00 
   84       2.959818778664e-10       7.057793716366e-14      -1.737956719731e-12       0.000000000000e+00 
   85       2.996180184555e-10       7.260922673081e-14      -1.816393585455e-12       0.000000000000e+00 
   86       3.032851204705e-10       7.464636558114e-14      -1.895766125358e-12       0.000000000000e+00 
   87       3.069836671254e-10       7.668804919360e-14      -1.976042045436e-12       0.000000000000e+00 
   88       3.107139211123e-10       7.873297303298e-14      -2.057189516216e-12       0.000000000000e+00 
   89       3.144759133895e-10       8.077983393602e-14      -2.139177244955e-12       0.000000000000e+00 
   90       3.182694319695e-10       8.282733149767e-14      -2.221974547849e-12       0.000000000000e+00 
   91       3.220940107073e-10       8.487416945722e-14      -2.305551422228e-12       0.000000000000e+00 
   92       3.259489180886e-10       8.691905708449e-14      -2.389878618766e-12       0.000000000000e+00 
   93       3.298334155892e-10       8.896060717985e-14      -2.474920645823e-12       0.000000000000e+00 
   94       3.337476015552e-10       9.099700951501e-14      -2.560613422127e-12       0.000000000000e+00 
   95       3.376916741034e-10       9.302631061206e-14      -2.646883380911e-12       0.000000000000e+00 
   96       3.416656654479e-10       9.504651272092e-14      -2.733654213809e-12       0.000000000000e+00 
   97       3.456694343888e-10       9.705557378634e-14      -2.820846846036e-12       0.000000000000e+00 
   98       3.497026588004e-10       9.905140741492e-14      -2.908379411573e-12       0.000000000000e+00 
   99       3.537648281201e-10       1.010318828421e-13      -2.996167228347e-12       0.000000000000e+00 
  100       3.578552358366e-10       1.029948248993e-13      -3.084122773419e-12       0.000000000000e+00 
  101       3.619729719786e-10       1.049380139807e-13      -3.172155658164e-12       0.000000000000e+00 
  102       3.661169156031e-10       1.068591860104e-13      -3.260172603455e-12       0.000000000000e+00 
  103       3.702857272841e-10       1.087560324096e-13      -3.348077414843e-12       0.000000000000e+00 
  104       3.744781323646e-10       1.106263067715e-13      -3.435776980356e-12       0.000000000000e+00 
  105       3.786938304676e-10       1.124681613703e-13      -3.523200240051e-12       0.000000000000e+00 
  106       3.829326954149e-10       1.142798562598e-13      -3.610281744637e-12       0.000000000000e+00 
  107       3.871944911713e-10       1.160596577504e-13      -3.696955902553e-12       0.000000000000e+00 
  108       3.914788675280e-10       1.178058395489e-13      -3.783157021340e-12       0.000000000000e+00 
  109       3.957853557863e-10       1.195166838980e-13      -3.868819349004e-12       0.000000000000e+00 
  110       4.001133644416e-10       1.211904827159e-13      -3.953877115381e-12       0.000000000000e+00 
  111       4.044621748667e-10       1.228255387358e-13      -4.038264573504e-12       0.000000000000e+00 
  112       4.088309369958e-10       1.244201666459e-13      -4.121916040967e-12       0.000000000000e+00 
  113       4.132186650084e-10       1.259726942289e-13      -4.204765941295e-12       0.000000000000e+00 
  114       4.176242330124e-10       1.274814635014e-13      -4.286748845303e-12       0.000000000000e+00 
  115       4.220463707285e-10       1.289448318538e-13      -4.367799512465e-12       0.000000000000e+00 
  116       4.264838364709e-10       1.303612043004e-13      -4.447851555484e-12       0.000000000000e+00 
  117       4.309359691782e-10       1.317291322425e-13      -4.526833161355e-12       0.000000000000e+00 
  118       4.354021957063e-10       1.330472289092e-13      -4.604670925320e-12       0.000000000000e+00 
  119       4.398818568178e-10       1.343141407200e-13      -4.681291209988e-12       0.000000000000e+00 
  120       4.443742044327e-10       1.355285487002e-13      -4.756620174532e-12       0.000000000000e+00 
  121       4.488783988804e-10       1.366891698950e-13      -4.830583803878e-12       0.000000000000e+00 
  122       4.533935061507e-10       1.377947587846e-13      -4.903107937899e-12       0.000000000000e+00 
  123       4.579184951452e-10       1.388441086986e-13      -4.974118300604e-12       0.000000000000e+00 
  124       4.624522349287e-10       1.398360532310e-13      -5.043540529336e-12       0.000000000000e+00 
  125       4.669934919805e-10       1.407694676547e-13      -5.111300203960e-12       0.000000000000e+00 
  126       4.715409274454e-10       1.416432703364e-13      -5.177322876056e-12       0.000000000000e+00 
  127       4.760930943857e-10       1.424564241509e-13      -5.241534098112e-12       0.000000000000e+00 
  128       4.806484350321e-10       1.432079378964e-13      -5.303859452717e-12       0.000000000000e+00 
  129       4.852054443464e-10       1.438969112251e-13      -5.364225908104e-12       0.000000000000e+00 
  130       4.897631868358e-10       1.445226720040e-13      -5.422565990902e-12       0.000000000000e+00 
  131       4.943208315031e-10       1.450846567667e-13      -5.478814128440e-12       0.000000000000e+00 
  132       4.988774890747e-10       1.455823702568e-13      -5.532905401727e-12       0.000000000000e+00 
  133       5.034322104414e-10       1.460153871538e-13      -5.584775584141e-12       0.000000000000e+00 
  134       5.079839851002e-10       1.463833537994e-13      -5.634361180108e-12       0.000000000000e+00 
  135       5.125317395954e-10       1.466859899236e-13      -5.681599463785e-12       0.000000000000e+00 
  136       5.170743359602e-10       1.469230903706e-13      -5.726428517748e-12       0.000000000000e+00 
