#scalar perturbations for mode k = 1.000000000000e-07 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_scf             19:theta_scf          
       1.283559493347e+02       3.417046892284e-04      -4.674569566845e-11      -4.185771861466e-24       3.650158536728e-14       9.125396341820e-14       5.181517434661e-22       1.825079268364e-14      -3.505927175134e-11      -4.179875828824e-24       5.973335571132e-01       6.603526478616e-01      -4.674569566833e-11      -7.890767640151e-24       6.389439970042e-12      -3.505927175145e-11      -3.505859069815e-46      -2.423847346265e-23      -1.163774036570e-24 
       1.347530576420e+02       3.621238318958e-04      -5.123671718930e-11      -4.774187821352e-24       4.283716476584e-14       1.070929119146e-13       6.837719755162e-22       2.141858238292e-14      -3.842753789197e-11      -4.766134248653e-24       5.980038090059e-01       6.597652934404e-01      -5.123671718914e-11      -9.103072045754e-24       7.028699952626e-12      -3.842753789211e-11      -6.279385876168e-46      -2.736009353175e-23      -1.431781087675e-24 
       1.454933185658e+02       3.971296409287e-04      -5.916731868674e-11      -5.864104185455e-24       5.545689931518e-14       1.386422482879e-13       1.071103972122e-21       2.772844965759e-14      -4.437548901506e-11      -5.851148160171e-24       5.988850203411e-01       6.586035191364e-01      -5.916731868652e-11      -1.139939242581e-23       8.165204839030e-12      -4.437548901525e-11      -1.542605651550e-45      -3.253067681385e-23      -1.917730441235e-24 
       1.562335794896e+02       4.330424496196e-04      -6.757939755712e-11      -7.083721757780e-24       7.082645322551e-14       1.770661330638e-13       1.640754578054e-21       3.541322661275e-14      -5.068454816784e-11      -7.063836277338e-24       5.995402766013e-01       6.573073678365e-01      -6.757939755681e-11      -1.404145053947e-23       9.380908711845e-12      -5.068454816811e-11      -3.454683279435e-45      -3.776655561727e-23      -2.448365303740e-24 
       1.669738404135e+02       4.698622579687e-04      -7.646380628135e-11      -8.434596062721e-24       8.934830580297e-14       2.233707645074e-13       2.463397074051e-21       4.467415290149e-14      -5.734785471102e-11      -8.405139371518e-24       6.000323968088e-01       6.559413595718e-01      -7.646380628093e-11      -1.705055623896e-23       1.067562699297e-11      -5.734785471136e-11      -7.218637784730e-45      -4.309630928344e-23      -3.026378129138e-24 
       1.777141013373e+02       5.075890659762e-04      -8.581169984812e-11      -9.917786339075e-24       1.118104220139e-13       2.795260550347e-13       3.656914161509e-21       5.590521100695e-14      -6.435877488609e-11      -9.875195751851e-24       6.004012737052e-01       6.545462090293e-01      -8.581169984756e-11      -2.044774665796e-23       1.204909173458e-11      -6.435877488654e-11      -1.429805772838e-44      -4.839263873956e-23      -3.655362592538e-24 
       1.884543622611e+02       5.462228736424e-04      -9.561464734475e-11      -1.153395468899e-23       1.397102269903e-13       3.492755674759e-13       5.431469770980e-21       6.985511349517e-14      -7.171098550857e-11      -1.147356859064e-23       6.006726197306e-01       6.531483314539e-01      -9.561464734402e-11      -2.425379239311e-23       1.350098538772e-11      -7.171098550913e-11      -2.711355627016e-44      -5.336120188947e-23      -4.338945283186e-24 
       2.044214462357e+02       6.053345947403e-04      -1.110125403834e-10      -1.418194260528e-23       1.866695913538e-13       4.666739783845e-13       9.011379923446e-21       9.333479567691e-14      -8.325940528755e-11      -1.408596155578e-23       6.009756637899e-01       6.510992179309e-01      -1.110125403824e-10      -3.071172113381e-23       1.580367120280e-11      -8.325940528831e-11      -6.637680509477e-44      -5.805507588341e-23      -5.468671974823e-24 
       2.203885302102e+02       6.664509202338e-04      -1.273742929705e-10      -1.712543325301e-23       2.480529237209e-13       6.201323093021e-13       1.517677308213e-20       1.240264618604e-13      -9.553071972789e-11      -1.697040120124e-23       6.011433350714e-01       6.491132376662e-01      -1.273742929691e-10      -3.818497019771e-23       1.827774699053e-11      -9.553071972890e-11      -1.507885605292e-43      -5.753708443452e-23      -6.735324824281e-24 
       2.363556141848e+02       7.295718501249e-04      -1.446776115967e-10      -2.038272678359e-23       3.742408129014e-13       9.356020322535e-13       3.555374285242e-20       1.871204064507e-13      -1.085082086976e-10      -2.008891859995e-23       6.009803714022e-01       6.472140322089e-01      -1.446776115948e-10      -4.673886557233e-23       2.092191355346e-11      -1.085082086989e-10      -3.228286488503e-43      -4.788431978931e-23      -8.145271737585e-24 
