#scalar perturbations for mode k = 1.105063066835e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:delta_scf             22:theta_scf          
       8.209282046791e+01       2.034017138020e-04      -2.417606869209e-05      -1.839049352043e-12       1.155653247393e-08       2.889133118482e-08       6.963143897699e-14       5.778266236964e-09      -1.813205151907e-05      -1.839049327455e-12       5.891079216062e-01       6.617078888673e-01      -2.417606869117e-05      -3.163678242419e-12       3.193926808788e-06      -1.813205152003e-05      -1.026447613605e-42      -2.419640277268e-05      -3.166939398629e-12       3.196005403831e-06      -1.437165377494e-23      -5.886500213931e-23 
       8.209334259339e+01       2.034031746468e-04      -2.417637462324e-05      -1.839082224519e-12       1.155675927246e-08       2.889189818115e-08       6.963380597070e-14       5.778379636230e-09      -1.813228096743e-05      -1.839082175343e-12       5.891081478570e-01       6.617080252001e-01      -2.417637462139e-05      -3.163737144264e-12       3.193968623517e-06      -1.813228096935e-05      -4.426311624552e-42      -2.419670889468e-05      -3.166998330180e-12       3.196047228362e-06      -2.874314419231e-23      -1.851610776919e-22 
       8.209386471887e+01       2.034046354936e-04      -2.417668055590e-05      -1.839115097375e-12       1.155698607413e-08       2.889246518533e-08       6.963617303059e-14       5.778493037066e-09      -1.813251041693e-05      -1.839115023609e-12       5.891083741025e-01       6.617081615263e-01      -2.417668055314e-05      -3.163796046860e-12       3.194010438468e-06      -1.813251041981e-05      -1.162164776412e-41      -2.419701501821e-05      -3.167057262482e-12       3.196089053115e-06      -4.311446424004e-23      -3.809146514305e-22 
       8.209617162315e+01       2.034110899712e-04      -2.417803227360e-05      -1.839260343579e-12       1.155798819017e-08       2.889497047543e-08       6.964663220212e-14       5.778994095086e-09      -1.813352420520e-05      -1.839260161158e-12       5.891093736104e-01       6.617087637246e-01      -2.417803226676e-05      -3.164056304294e-12       3.194195191722e-06      -1.813352421232e-05      -1.313148932003e-40      -2.419836757920e-05      -3.167317651167e-12       3.196273849676e-06      -1.066094215526e-22      -2.020150418859e-21 
       8.209847852743e+01       2.034175444903e-04      -2.417938402046e-05      -1.839405597053e-12       1.155899036833e-08       2.889747592082e-08       6.965709267081e-14       5.779495184164e-09      -1.813453801535e-05      -1.839405305957e-12       5.891103729944e-01       6.617093657716e-01      -2.417938400954e-05      -3.164316576133e-12       3.194379949228e-06      -1.813453802671e-05      -4.649637800883e-40      -2.419972016936e-05      -3.167578054259e-12       3.196458650482e-06      -1.701011725891e-22      -4.987349878536e-21 
       8.210078543170e+01       2.034239990510e-04      -2.418073579695e-05      -1.839550857909e-12       1.155999260792e-08       2.889998151980e-08       6.966755443272e-14       5.779996303960e-09      -1.813555184771e-05      -1.839550458121e-12       5.891113722728e-01       6.617099676872e-01      -2.418073578195e-05      -3.164576862602e-12       3.194564711051e-06      -1.813555186332e-05      -1.131150455065e-39      -2.420107278915e-05      -3.167838471984e-12       3.196643455601e-06      -2.335896161235e-22      -9.303386862029e-21 
       8.210309233598e+01       2.034304536531e-04      -2.418208760321e-05      -1.839696126188e-12       1.156099490871e-08       2.890248727178e-08       6.967801748655e-14       5.780497454356e-09      -1.813656570241e-05      -1.839695617688e-12       5.891123714523e-01       6.617105694786e-01      -2.418208758415e-05      -3.164837163781e-12       3.194749477215e-06      -1.813656572226e-05      -2.253969997986e-39      -2.420242543873e-05      -3.168098904420e-12       3.196828265054e-06      -2.970747166821e-22      -1.497573923802e-20 
       8.211618759436e+01       2.034670943141e-04      -2.418976176468e-05      -1.840520889733e-12       1.156668567868e-08       2.891671419671e-08       6.973743602341e-14       5.783342839341e-09      -1.814232132351e-05      -1.840519763764e-12       5.891180415002e-01       6.617139832564e-01      -2.418976172247e-05      -3.166315055661e-12       3.195798394013e-06      -1.814232136746e-05      -2.659963278605e-38      -2.421010438736e-05      -3.169577541417e-12       3.197877427468e-06      -6.573876072569e-22      -7.316515057601e-20 
       8.212928285273e+01       2.035037363127e-04      -2.419743688681e-05      -1.841345892721e-12       1.157237842070e-08       2.893094605176e-08       6.979689622115e-14       5.786189210352e-09      -1.814807766511e-05      -1.841344148669e-12       5.891237084060e-01       6.617173930819e-01      -2.419743682144e-05      -3.167793422086e-12       3.196847450826e-06      -1.814807773317e-05      -9.322612298566e-38      -2.421778429655e-05      -3.171056652982e-12       3.198926729675e-06      -1.017592645652e-21      -1.740612302144e-19 
       8.214237811111e+01       2.035403796491e-04      -2.420511296966e-05      -1.842171135184e-12       1.157807313588e-08       2.894518283969e-08       6.985639811264e-14       5.789036567938e-09      -1.815383472724e-05      -1.842168772435e-12       5.891293721783e-01       6.617207989654e-01      -2.420511288113e-05      -3.169272263141e-12       3.197896647668e-06      -1.815383481942e-05      -2.239938520694e-37      -2.422546516614e-05      -3.172536239174e-12       3.199976171657e-06      -1.377689886102e-21      -3.201947882119e-19 
