#scalar perturbations for mode k = 1.105063066833e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:delta_scf             22:theta_scf          
       6.407658194967e+00       1.398493299600e-05      -1.655803547094e-03      -1.072990580114e-07       3.984825075024e-08       9.962062687560e-08       1.054613898446e-13       1.992412537512e-08      -1.241852660321e-03      -1.072990579262e-07       6.012234447031e-01       6.971284620856e-01      -1.655803500264e-03      -1.605327900622e-07       2.004340491592e-04      -1.241852731114e-03      -1.199517733848e-40      -1.657509771419e-03      -1.606983603861e-07       2.006404125683e-04      -5.358483334222e-25                     -inf 
       6.408281188351e+00       1.398630826959e-05      -1.656123923362e-03      -1.073301993483e-07       3.985994669833e-08       9.964986674583e-08       1.055130932332e-13       1.992997334917e-08      -1.242092942521e-03      -1.073301991827e-07       6.012234313476e-01       6.971281897135e-01      -1.656123832306e-03      -1.605795355996e-07       2.004729251856e-04      -1.242093080171e-03      -9.493576491903e-40      -1.657830433383e-03      -1.607451540352e-07       2.006793285645e-04      -1.041689758472e-24                     -inf 
       6.408904181736e+00       1.398768354620e-05      -1.656444330349e-03      -1.073613466758e-07       3.987164494602e-08       9.967911236505e-08       1.055648169735e-13       1.993582247301e-08      -1.242333247762e-03      -1.073613464297e-07       6.012234180003e-01       6.971279173567e-01      -1.656444195055e-03      -1.606262901876e-07       2.005118049731e-04      -1.242333452287e-03      -3.010912360214e-39      -1.658151126060e-03      -1.607919567417e-07       2.007182483225e-04      -1.547478426279e-24                     -inf 
       6.409527175120e+00       1.398905882583e-05      -1.656764768056e-03      -1.073924999944e-07       3.988334549352e-08       9.970836373379e-08       1.056165610717e-13       1.994167274676e-08      -1.242573576042e-03      -1.073924996678e-07       6.012234046612e-01       6.971276450152e-01      -1.656764588511e-03      -1.606730538271e-07       2.005506885216e-04      -1.242573847463e-03      -6.871428989967e-39      -1.658471849449e-03      -1.608387685064e-07       2.007571718421e-04      -2.053214374269e-24                     -inf 
       6.410150168505e+00       1.399043410850e-05      -1.657085236484e-03      -1.074236593047e-07       3.989504834103e-08       9.973762085258e-08       1.056683255337e-13       1.994752417052e-08      -1.242813927363e-03      -1.074236588975e-07       6.012233913304e-01       6.971273726893e-01      -1.657085012674e-03      -1.607198265188e-07       2.005895758311e-04      -1.242814265698e-03      -1.312062316572e-38      -1.658792603551e-03      -1.608855893301e-07       2.007960991234e-04      -2.558897640155e-24                     -inf 
       6.411442752514e+00       1.399328754874e-05      -1.657750240996e-03      -1.074883276230e-07       3.991933669654e-08       9.979834174135e-08       1.057757912003e-13       1.995966834827e-08      -1.243312680747e-03      -1.074883270484e-07       6.012233636986e-01       6.971268077180e-01      -1.657749925305e-03      -1.608168991781e-07       2.006702710512e-04      -1.243313157978e-03      -3.616773202125e-38      -1.659458200752e-03      -1.609827618748e-07       2.008768772788e-04      -3.607919234038e-24                     -inf 
       6.412735336523e+00       1.399614100202e-05      -1.658415377748e-03      -1.075530217415e-07       3.994363495613e-08       9.985908739034e-08       1.058833446088e-13       1.997181747807e-08      -1.243811533311e-03      -1.075530209994e-07       6.012233361030e-01       6.971262428136e-01      -1.658414970121e-03      -1.609140108170e-07       2.007509824615e-04      -1.243812149522e-03      -7.724073146497e-38      -1.660123930159e-03      -1.610799734279e-07       2.009576716269e-04      -4.656714540903e-24                     -inf 
       6.414027920532e+00       1.399899446832e-05      -1.659080646741e-03      -1.076177416654e-07       3.996794312197e-08       9.991985780494e-08       1.059909858133e-13       1.998397156099e-08      -1.244310485056e-03      -1.076177407556e-07       6.012233085430e-01       6.971256779752e-01      -1.659080147121e-03      -1.610111614433e-07       2.008317100619e-04      -1.244311240330e-03      -1.416743638410e-37      -1.660789791773e-03      -1.611772239975e-07       2.010384821681e-04      -5.705283898188e-24                     -inf 
       6.415320504541e+00       1.400184794766e-05      -1.659746047974e-03      -1.076824873998e-07       3.999226119635e-08       9.998065299087e-08       1.060987148687e-13       1.999613059817e-08      -1.244809535980e-03      -1.076824863220e-07       6.012232810170e-01       6.971251132011e-01      -1.659745456305e-03      -1.611083510649e-07       2.009124538524e-04      -1.244810430401e-03      -2.347797787088e-37      -1.661455785598e-03      -1.612745135918e-07       2.011193089027e-04      -6.753627642737e-24                     -inf 
       6.416613088550e+00       1.400470144003e-05      -1.660411581445e-03      -1.077472589497e-07       4.001658918168e-08       1.000414729542e-07       1.062065318302e-13       2.000829459084e-08      -1.245308686083e-03      -1.077472577037e-07       6.012232535228e-01       6.971245484888e-01      -1.660410897671e-03      -1.612055796894e-07       2.009932138328e-04      -1.245309719734e-03      -3.618457211109e-37      -1.662121911639e-03      -1.613718422193e-07       2.012001518315e-04      -7.801746110840e-24                     -inf 
       6.422256076124e+00       1.401715898179e-05      -1.663318625810e-03      -1.080303322637e-07       4.012291313968e-08       1.003072828492e-07       1.066782554370e-13       2.006145656984e-08      -1.247488969358e-03      -1.080303302812e-07       6.012231337709e-01       6.971220837629e-01      -1.663317539284e-03      -1.616305042134e-07       2.013459744000e-04      -1.247490611824e-03      -1.446312360844e-36      -1.665031542992e-03      -1.617972037031e-07       2.015532746065e-04      -1.237484909850e-23                     -inf 
       6.427899063698e+00       1.402961677191e-05      -1.666228190424e-03      -1.083138981110e-07       4.022942628344e-08       1.005735657086e-07       1.071516602121e-13       2.011471314172e-08      -1.249671142818e-03      -1.083138953882e-07       6.012230141050e-01       6.971196196318e-01      -1.666226700077e-03      -1.620561728916e-07       2.016990435274e-04      -1.249673395698e-03      -3.720016301496e-36      -1.667943695728e-03      -1.622233100676e-07       2.019067062107e-04      -1.694369288446e-23                     -inf 
       6.433542051272e+00       1.404207481040e-05      -1.669140275218e-03      -1.085979569105e-07       4.033612890033e-08       1.008403222508e-07       1.076267509880e-13       2.016806445017e-08      -1.251855206414e-03      -1.085979534434e-07       6.012228937974e-01       6.971171552815e-01      -1.669138379980e-03      -1.624825863696e-07       2.020524212116e-04      -1.251858071309e-03      -7.625001541035e-36      -1.670858371980e-03      -1.626501621732e-07       2.022604469070e-04      -2.150830536698e-23                     -inf 
       6.439185038846e+00       1.405453309726e-05      -1.672054880128e-03      -1.088825090815e-07       4.044302124013e-08       1.011075531003e-07       1.081035325072e-13       2.022151062006e-08      -1.254041160096e-03      -1.088825048662e-07       6.012227723633e-01       6.971146901693e-01      -1.672052578926e-03      -1.629097452944e-07       2.024061074498e-04      -1.254044638610e-03      -1.360560692964e-35      -1.673775573166e-03      -1.630777608126e-07       2.026144968724e-04      -2.606871442142e-23                     -inf 
       6.444828026420e+00       1.406699163248e-05      -1.674972005088e-03      -1.091675550436e-07       4.055010336804e-08       1.013752584201e-07       1.085820090278e-13       2.027505168402e-08      -1.256229003816e-03      -1.091675500761e-07       6.012226504777e-01       6.971122250469e-01      -1.674969296849e-03      -1.633376503129e-07       2.027601022393e-04      -1.256233097557e-03      -2.210794250372e-35      -1.676695297188e-03      -1.635061064364e-07       2.029688558583e-04      -3.062494788627e-23                     -inf 
       6.450471013994e+00       1.407945041607e-05      -1.677891650031e-03      -1.094530952161e-07       4.065737535325e-08       1.016434383831e-07       1.090621848248e-13       2.032868767663e-08      -1.258418737523e-03      -1.094530894925e-07       6.012225287843e-01       6.971097606308e-01      -1.677888533678e-03      -1.637663020720e-07       2.031144055767e-04      -1.258423448101e-03      -3.357946288489e-35      -1.679617542022e-03      -1.639351995016e-07       2.033235236248e-04      -3.517703355072e-23                     -inf 
